feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T130	E1	CRC	-0.00574037144706966	0.0007311403187147	107	96	4.28415165293389e-12	7.67719976205752e-09
T241	E1	CRC	0.0184474571491578	0.00383036001606895	107	40	5.10016684707389e-06	0.0030464996633188
T260	E1	CRC	0.0079638587331177	0.00163878104347371	107	22	4.26905065673098e-06	0.0030464996633188
T203	E1	CRC	-0.00510170044075229	0.00119242546412151	107	31	4.25394764975173e-05	0.0127051236472585
T233	E1	CRC	0.0109962812029815	0.00251286638548797	107	30	2.92706700368666e-05	0.0127051236472585
T287	E1	CRC	0.00629861755222983	0.00146559976715879	107	19	3.95359609926404e-05	0.0127051236472585
T286	E1	CRC	0.0128479450172408	0.00327453054260466	107	24	0.000158479751347443	0.0354994643018272
T295	X2	X2	-0.00067878252340271	0.000172481156529082	107	10	0.000151871963827991	0.0354994643018272
T390	X2	X2	-0.000118332773789018	3.18121746785111e-05	107	4	0.000326438498643845	0.0649975321744189
T185	E1	CRC	0.0122261713422724	0.00334085822618516	107	55	0.000402063853712744	0.0720498425853237
T327	E1	CRC	0.016940534445795	0.00478516833921546	107	22	0.00060397817522812	0.0916804968229046
T356	E1	CRC	0.00553326109219857	0.00156511673217407	107	14	0.000613931898367665	0.0916804968229046
T142	E1	CRC	-0.00103946567664159	0.000296760383032089	107	31	0.00068508401661662	0.0944361967520757
T323	X2	X2	-7.88683429367145e-05	2.28638673389945e-05	107	5	0.000817985704238269	0.101141549092932
T353	X2	X2	-0.000133292175335599	3.87580376440395e-05	107	4	0.000846608948880566	0.101141549092932
T11	X3	X3	0.00547493633522844	0.00164484485054749	107	106	0.00121538748985154	0.120998576767442
T29	E1	CRC	-0.0155944901277139	0.00467718435807773	107	20	0.00119348181842631	0.120998576767442
T117	X2	X2	-0.00165235693176099	0.000492840443077616	107	79	0.00112373079518602	0.120998576767442
T355	E1	CRC	0.0108447541300051	0.00339105846400055	107	13	0.00184333959873533	0.165163228046686
T421	X3	X3	-0.000146620043870104	4.58343135025112e-05	107	3	0.0018382949921397	0.165163228046686
T116	X3	X3	0.00240118289593556	0.000759459759094223	107	88	0.00206588542968878	0.169291168785557
T126	E1	CRC	-0.00402981773042327	0.00127535064924716	107	42	0.00207835140250126	0.169291168785557
T94	E1	CRC	0.00614614908255912	0.00198689322654412	107	90	0.00255357515886462	0.176000257103285
T233	X2	X2	-0.000451997147266845	0.000145756771234861	107	30	0.00249379860291326	0.176000257103285
T241	X2	X2	-0.000688689202429522	0.000222176917894863	107	40	0.00250383947931415	0.176000257103285
T366	X2	X2	-4.65293087125508e-05	1.48625967139284e-05	107	2	0.00227568432506795	0.176000257103285
T402	X2	X2	-2.25978949069117e-05	7.34707813242734e-06	107	3	0.00269524832337318	0.178884629462398
T13	E1	CRC	-0.0350105621880914	0.0114806804634564	107	99	0.0029203702844601	0.186903698205447
T3	E1	CRC	-0.0660045191772523	0.0221278847458443	107	102	0.00357262836035097	0.194682772805444
T30	X2	X2	-0.00249125296283304	0.000834209619233384	107	96	0.00353531033531048	0.194682772805444
T122	X2	X2	-0.00106179521667282	0.000352898331024855	107	34	0.003304467682857	0.194682772805444
T202	E1	CRC	0.00518436776543248	0.00173872690694535	107	18	0.00358511802599311	0.194682772805444
T405	X2	X2	-4.41020259685769e-05	1.47157516835414e-05	107	2	0.00342476236513717	0.194682772805444
T101	E1	CRC	0.0211114171924278	0.00710888267732374	107	96	0.00371614916929608	0.195862920922899
T28	X2	X2	-0.00305336969645759	0.00103531770236833	107	103	0.00395082275961757	0.19666317736763
T270	X2	X2	-0.000174131272627095	5.90365913616862e-05	107	11	0.00394684953832939	0.19666317736763
T229	E1	CRC	0.0881961695706134	0.0300442499162116	107	52	0.00411468578691482	0.199284241355442
T189	X2	X2	-0.000375446490406386	0.000128728129332865	107	46	0.0043523377365248	0.2015474076709
T261	X3	X3	-0.000209507151068385	7.18980062712159e-05	107	1	0.00438635541248052	0.2015474076709
T148	X2	X2	-0.000829364929197056	0.000288627222811912	107	27	0.00494038605140612	0.221329295102994
T408	X3	X3	0.000118440603375011	4.14490965857719e-05	107	4	0.00517641296238431	0.226247122648602
T57	X1	male	-0.0105111188435618	0.00369914039030226	107	80	0.00542283964268363	0.231374491421168
T200	X3	X3	0.00104429428742029	0.000377354771163553	107	34	0.00671089631198314	0.279672702117995
T116	X1	male	-0.0154811849474715	0.00561144076279498	107	88	0.00687616740608716	0.280047545266095
T34	E1	CRC	0.0150904752036857	0.00551140896456614	107	63	0.00729439749070611	0.290479117852119
T64	X2	X2	0.000775722285143052	0.000284403205055692	107	67	0.00751399144272622	0.292718970986204
T70	E1	CRC	-0.00301355420277015	0.0011160147894776	107	40	0.0081125761924487	0.294490651136808
T168	X2	X2	-0.000366236037128906	0.000136292534586547	107	54	0.0084165029152613	0.294490651136808
T231	E1	CRC	-0.00143106929357983	0.000533576416782025	107	21	0.008537123722116	0.294490651136808
T242	E1	CRC	0.00494426155430064	0.00184021979441585	107	11	0.00842483344790274	0.294490651136808
T355	X2	X2	-0.000527474887257135	0.000196695588605833	107	13	0.00854548764459488	0.294490651136808
T359	X2	X2	1.89237845070734e-05	6.99042646564688e-06	107	3	0.00795893495774208	0.294490651136808
T50	E1	CRC	0.0161783257962851	0.00605911655254381	107	92	0.00882600889028006	0.294987597187167
T151	X2	X2	-0.000104232993942602	3.9074935467216e-05	107	33	0.00888913518309542	0.294987597187167
T270	E1	CRC	0.00269841863418251	0.00101779879376945	107	11	0.00929964580195331	0.302999368674552
T293	E1	CRC	0.0106727939331215	0.00404627579881299	107	10	0.00965411313530299	0.304592751940059
T445	X3	X3	-6.01026879008913e-05	2.27973151169737e-05	107	1	0.00968849713202197	0.304592751940059
T17	X1	male	-0.0371780825008081	0.0142811987123417	107	107	0.0106096392062395	0.306388255247016
T32	E1	CRC	-0.0278380404593205	0.010715765743491	107	94	0.0107680708192824	0.306388255247016
T50	X2	X2	0.000923241245307614	0.000351454128374991	107	92	0.00994446168844081	0.306388255247016
T102	X2	X2	-0.00117370656274557	0.00045088186490001	107	35	0.0106140800140308	0.306388255247016
T359	X3	X3	-4.4389438673703e-05	1.7042351300921e-05	107	3	0.0105701202548449	0.306388255247016
