feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T4	E1	CRC	-0.0677348221736792	0.0487070578158945	55	53	0.170141227578998	0.668161216624617
T5	E1	CRC	-0.0163721479439726	0.0123277062286206	55	13	0.18984369706174	0.668161216624617
T8	E1	CRC	-0.0266382875414537	0.0242940495448964	55	10	0.277819786254419	0.668161216624617
T18	E1	CRC	-0.0388367534081797	0.0306669967784359	55	35	0.210906817759516	0.668161216624617
T19	E1	CRC	0.00157997632031397	0.00115579061818824	55	2	0.177392935684262	0.668161216624617
T26	E1	CRC	0.0706106319958139	0.0526771771125258	55	46	0.185819963367421	0.668161216624617
T29	E1	CRC	0.0294561679888581	0.0125107669451342	55	30	0.0222867501541517	0.668161216624617
T30	E1	CRC	0.0234248641425154	0.0236539118678831	55	23	0.326519152036898	0.668161216624617
T31	E1	CRC	-0.0328542078820893	0.0138118804183041	55	19	0.0210094340333305	0.668161216624617
T37	E1	CRC	-0.0331418578936704	0.0124730521774978	55	16	0.0103931478523923	0.668161216624617
T43	E1	CRC	-0.00271357054739699	0.00197202911017995	55	3	0.174599328091069	0.668161216624617
T44	E1	CRC	0.00023160819920836	0.000227355255714913	55	1	0.312970293791278	0.668161216624617
T47	E1	CRC	-0.000705295892383101	0.000499166506900126	55	2	0.163517253973527	0.668161216624617
T50	E1	CRC	-0.00360384703667177	0.00300653238930417	55	12	0.235987671908546	0.668161216624617
T53	E1	CRC	-0.00498106513394689	0.0041939239397773	55	8	0.24025263713925	0.668161216624617
T54	E1	CRC	0.00143028112466467	0.000872445769808052	55	3	0.107054682745806	0.668161216624617
T55	E1	CRC	-0.0019649569475954	0.0015715843970732	55	6	0.216681087131214	0.668161216624617
T60	E1	CRC	-0.00299630599755459	0.0020944551441176	55	15	0.158417511856155	0.668161216624617
T66	E1	CRC	0.00407392253639835	0.00198416119460179	55	6	0.0450009047101412	0.668161216624617
T68	E1	CRC	-0.000496398586672515	0.000505677867980775	55	1	0.330732411771924	0.668161216624617
T75	E1	CRC	-0.000486689206485922	0.000495786988344952	55	1	0.330732411771924	0.668161216624617
T78	E1	CRC	0.0031044341594773	0.00272718884523792	55	2	0.260103267673118	0.668161216624617
T79	E1	CRC	-0.000369299972959936	0.000376203373630755	55	1	0.330732411771925	0.668161216624617
