feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T21	X2	X2	-0.00105146848542617	0.000346809722623312	104	102	0.00312519415533653	0.52475163113887
T42	X3	X3	8.78532667785895e-05	2.94267028913324e-05	104	2	0.00359189130509027	0.52475163113887
T68	X1	male	-0.00472494012400327	0.00139969534242726	104	45	0.00106400773193336	0.52475163113887
T69	X3	X3	0.0005519404878796	0.000168914292480752	104	7	0.00150552936206898	0.52475163113887
T230	X3	X3	0.000270858356673694	8.75033206222e-05	104	14	0.00257583503230761	0.52475163113887
T271	X3	X3	0.000120277934698605	3.84817640907159e-05	104	2	0.00234777001551217	0.52475163113887
T315	X2	X2	1.30605471185711e-05	4.38982677241245e-06	104	2	0.00370412916098026	0.52475163113887
T317	X2	X2	-0.000252468009614253	7.65318702090472e-05	104	15	0.00136271828101291	0.52475163113887
T343	X1	male	-0.0243001701259275	0.00792013537821838	104	19	0.00279934795022969	0.52475163113887
T367	X1	male	-0.00195272538665718	0.000617810088687714	104	12	0.0021059134471965	0.52475163113887
T367	X3	X3	0.000230355489153852	6.45924534665859e-05	104	12	0.000566710146817913	0.52475163113887
T449	X3	X3	-0.000385957673984773	0.000126434431797751	104	3	0.0029345267483637	0.52475163113887
T30	X1	male	-0.0542001266316484	0.0192751467275504	104	97	0.0059714536202778	0.631705861236078
T70	X1	male	-0.000893198410082125	0.000334929908734318	104	4	0.00898702189511632	0.631705861236078
T79	X2	X2	5.69914233631206e-05	2.14662652305784e-05	104	14	0.00928709736362992	0.631705861236078
T86	E1	CRC	0.09307506589887	0.0347650580143509	104	90	0.00873093806904239	0.631705861236078
T103	X1	male	-0.00441152508338357	0.00157014119201004	104	36	0.00601065438219836	0.631705861236078
T104	X3	X3	0.000217642883910671	8.27313304080001e-05	104	5	0.0099262241699704	0.631705861236078
T122	X2	X2	-0.000973631160153826	0.000362891129343422	104	83	0.0085932971643494	0.631705861236078
T149	X1	male	-0.00423065758869255	0.00158483795338935	104	39	0.00892171946801488	0.631705861236078
T166	X1	male	-0.0143515681604321	0.00520849101825768	104	93	0.00701419675183618	0.631705861236078
T180	X1	male	-0.00518379925992367	0.00195788209176824	104	62	0.00947506444636386	0.631705861236078
T205	X2	X2	5.96125103154865e-05	2.19876191974964e-05	104	11	0.00794362612648875	0.631705861236078
T207	X1	male	-0.0108967211433622	0.00402046309456497	104	91	0.00796299001218877	0.631705861236078
T250	X3	X3	0.000614621328366739	0.000236580120996839	104	8	0.0108548954673943	0.631705861236078
T254	X1	male	-0.00398015873646563	0.00154124644642307	104	19	0.0113211894148388	0.631705861236078
T260	E1	CRC	0.00798056266791562	0.00282439291121099	104	21	0.00574150868702432	0.631705861236078
T287	X2	X2	-0.000102646920033915	3.96018872289848e-05	104	9	0.0110322849971993	0.631705861236078
T327	E1	CRC	0.0294185121200052	0.0114201852251331	104	37	0.0115193421754814	0.631705861236078
T404	X2	X2	4.03029789809705e-05	1.53594383780764e-05	104	3	0.0101108551146106	0.631705861236078
T422	X1	male	-0.000846652950422924	0.000305136701252661	104	3	0.00664159394089206	0.631705861236078
T1	X2	X2	-0.00264018962403023	0.00107632304050021	104	104	0.0159728131090393	0.673393428608164
T3	X2	X2	-0.00157585988841563	0.000721397220187215	104	74	0.0313637153306927	0.673393428608164
T6	X2	X2	-0.00201192974060497	0.000965073250789347	104	77	0.0397471391923182	0.673393428608164
T8	X1	male	0.0289056231102655	0.0142998925014932	104	55	0.0460236410658273	0.673393428608164
T9	X3	X3	-0.00315086899056838	0.00162462823620229	104	77	0.0553834545634676	0.673393428608164
T10	X2	X2	-0.000682384914251722	0.000274294754963927	104	92	0.0145782699258963	0.673393428608164
T12	X1	male	-0.0199377466001419	0.00924354472672461	104	94	0.03350760988535	0.673393428608164
T13	X2	X2	-0.000985269677899507	0.000436047178636546	104	87	0.0261103692129511	0.673393428608164
T15	X2	X2	-0.000590022975279268	0.000283044873069035	104	93	0.0397644962718786	0.673393428608164
T17	E1	CRC	0.0381939502198875	0.0169157865298445	104	103	0.0262176128512149	0.673393428608164
T19	X1	male	0.0316751487121217	0.0161175537808709	104	26	0.0522744396705866	0.673393428608164
T23	X3	X3	-0.00358459159051069	0.0017200492008107	104	44	0.0398157549804505	0.673393428608164
T24	X1	male	0.0136103981081667	0.00683584674979205	104	76	0.0493196703545087	0.673393428608164
T27	X1	male	0.0294218614079959	0.0139674665724763	104	83	0.0377728464150305	0.673393428608164
T31	X1	male	-0.0399919473629111	0.0161283568893538	104	95	0.0148956216055701	0.673393428608164
T48	X1	male	-0.00463889184771439	0.00216267788243811	104	50	0.0344785296190627	0.673393428608164
T54	X1	male	-0.00352948808635262	0.00181838101751278	104	47	0.0551905390181575	0.673393428608164
T55	X3	X3	0.000436787072248243	0.000194166712926674	104	53	0.0267622375269183	0.673393428608164
T57	X1	male	-0.00956262676203009	0.00475392903809459	104	85	0.0470737307894879	0.673393428608164
T58	X1	male	-0.00261348779612815	0.00134392642354881	104	54	0.054741816052632	0.673393428608164
T64	X2	X2	0.000326996356472556	0.000166437971951598	104	74	0.0523430714451525	0.673393428608164
T65	E1	CRC	0.00319398415910105	0.00131225998530911	104	32	0.0167838877722648	0.673393428608164
T65	X1	male	-0.00330395814817173	0.00149173137491359	104	32	0.0291356806056959	0.673393428608164
T71	X3	X3	0.000590863539679321	0.000239010611755824	104	45	0.0151914685491866	0.673393428608164
T99	X2	X2	5.14001961675254e-05	2.60972566784331e-05	104	14	0.0517706764654037	0.673393428608164
T100	X3	X3	-0.00745145658724573	0.00310273024669573	104	44	0.0182496864624233	0.673393428608164
T105	X1	male	0.0171723651944059	0.00851832674811008	104	23	0.0466017743738237	0.673393428608164
T105	X2	X2	0.00068499850302786	0.000315168646227482	104	23	0.0322075211209491	0.673393428608164
T112	E1	CRC	-0.0322875030459799	0.0132378656694874	104	21	0.016564131081313	0.673393428608164
T112	X2	X2	0.00111801892893596	0.000556772041951175	104	21	0.0474493389126513	0.673393428608164
T114	X3	X3	-0.00421092825158749	0.00207981783729278	104	94	0.0456795902594848	0.673393428608164
T115	X3	X3	-0.00337364134815783	0.00153870966652012	104	82	0.0307589787244469	0.673393428608164
T116	E1	CRC	-0.0138630330132474	0.00578109661975547	104	82	0.0184188882176483	0.673393428608164
T119	E1	CRC	-0.0162302445460078	0.00721047777695745	104	83	0.0266715621014735	0.673393428608164
T126	X1	male	0.00209934189408145	0.0010068376211234	104	11	0.0397153816757467	0.673393428608164
T127	E1	CRC	0.0157513802821123	0.00631221527684534	104	100	0.0142886482433073	0.673393428608164
T134	X2	X2	-0.000230864376662252	0.000113131277435476	104	88	0.0440285140253778	0.673393428608164
T139	E1	CRC	0.00833109423555708	0.00424356205754707	104	76	0.0525129867536744	0.673393428608164
T143	X2	X2	0.000109401269218043	4.84465757247125e-05	104	55	0.0261984790223386	0.673393428608164
T148	E1	CRC	-0.0284943358709923	0.0132014682827553	104	45	0.0333887929509677	0.673393428608164
T150	X3	X3	-0.00459500197034009	0.00207538031835497	104	90	0.0291921474002869	0.673393428608164
T155	E1	CRC	0.034037441898137	0.0165012301365874	104	93	0.0418396486012086	0.673393428608164
T155	X2	X2	0.00135633843400214	0.000694026048249649	104	93	0.0535748359040358	0.673393428608164
T160	X3	X3	0.000878671274084267	0.000387972640917663	104	19	0.0257752080887231	0.673393428608164
T167	X1	male	-0.0141366441338267	0.00650138699932742	104	51	0.0321325004895587	0.673393428608164
T168	X3	X3	-0.000562391180964021	0.000283529369424005	104	77	0.0501638858987825	0.673393428608164
T171	X2	X2	-0.000328922001415979	0.000148385248751828	104	61	0.02900620080843	0.673393428608164
T173	X1	male	-0.00597604633950351	0.00273710830118168	104	34	0.0314479865243004	0.673393428608164
T181	X3	X3	-0.00084379000544171	0.000355708327793504	104	48	0.0196802576101488	0.673393428608164
