feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T38	E1	CRC	-0.0380794878883089	0.00936822346823248	128	96	8.40765319723577e-05	0.010997589305441
T206	E1	CRC	0.0241271607870849	0.00609966714485307	128	85	0.000126700337620288	0.010997589305441
T233	E1	CRC	0.0131201823469142	0.00314766903513745	128	52	5.66249357071135e-05	0.010997589305441
T260	E1	CRC	0.00997729324163433	0.00248493493604921	128	42	0.000101389791628257	0.010997589305441
T287	E1	CRC	0.00912815428591005	0.00212893855232445	128	41	3.55874888896749e-05	0.010997589305441
T241	E1	CRC	0.0204279626851105	0.00523677483464467	128	61	0.000155086084384437	0.0110135783182078
T286	E1	CRC	0.0172230763436055	0.00445744716985291	128	51	0.000177638359971094	0.0110135783182078
T61	E1	CRC	-0.0584702745259193	0.0156398162606101	128	114	0.00027957754521924	0.0151670818281438
T1	E1	CRC	-0.0767077012583135	0.0224137420914425	128	128	0.000837768205076866	0.0403990445559289
T91	E1	CRC	0.0226388281910728	0.0067796202774434	128	91	0.00110520092854691	0.0442768828733742
T213	E1	CRC	0.00923712191331066	0.00277006801533473	128	80	0.00112222514195188	0.0442768828733742
T170	E1	CRC	0.0129055873596232	0.00390290295591731	128	107	0.00123038758632079	0.0444990177052687
T288	E1	CRC	0.00589835471210691	0.00180256800391248	128	72	0.00137715933400511	0.0459759346890936
T172	E1	CRC	0.00654599650366528	0.00203191828988372	128	99	0.00162250083790786	0.0471872258006759
T437	E1	CRC	0.017678310198371	0.00549018853503595	128	18	0.00163089490094502	0.0471872258006759
T163	E1	CRC	0.0138019745854561	0.00441479538489604	128	88	0.00219825433337826	0.0567129020674977
T252	E1	CRC	0.00670620133733615	0.00214738190037219	128	41	0.00222147312245959	0.0567129020674977
T26	E1	CRC	-0.0905745494929513	0.0309302576907262	128	107	0.00404536057609856	0.0975381383348208
T17	E1	CRC	0.0387246949609636	0.0134506809638168	128	128	0.0046884351477123	0.107093729163534
T158	E1	CRC	0.0199001971338577	0.00703756656187847	128	56	0.00545538796334369	0.116937986965038
T198	E1	CRC	-0.00178723056776422	0.000634840417045972	128	9	0.00565828969185667	0.116937986965038
T413	E1	CRC	0.0118303609587956	0.00428318212236832	128	15	0.00660378595372828	0.130274686541731
T165	E1	CRC	0.0080504887348814	0.00294206004650123	128	63	0.00711036466177074	0.134169489704717
T184	E1	CRC	0.013822218740049	0.00515763731119228	128	42	0.00834745637210531	0.150949836062238
T43	E1	CRC	-0.0149155707941203	0.00570268830362777	128	92	0.00999664063487827	0.16925467718116
T143	E1	CRC	0.00242750398573509	0.000934462312797507	128	37	0.0105008101015981	0.16925467718116
T166	E1	CRC	0.0142621948234455	0.00549457428210123	128	85	0.0105609137935179	0.16925467718116
T169	E1	CRC	0.00530732099029882	0.00205426638758695	128	42	0.0109196565923329	0.16925467718116
T13	E1	CRC	-0.0298587875953862	0.0118946607162823	128	94	0.0133307028491414	0.169810292945273
T16	E1	CRC	-0.0369133890522907	0.0146747433431029	128	26	0.0131462308253602	0.169810292945273
T97	E1	CRC	0.0754476577658511	0.0301200790336845	128	80	0.0135248965978311	0.169810292945273
T135	E1	CRC	0.00592191695167621	0.00236851752627891	128	81	0.0136943784633285	0.169810292945273
T190	E1	CRC	0.000783795586602237	0.00030980350553337	128	15	0.012639490587014	0.169810292945273
T192	E1	CRC	0.00578950369452019	0.00229008560317344	128	83	0.0127048189169491	0.169810292945273
T296	E1	CRC	0.00159423029873664	0.000636076909748397	128	19	0.0134721425334824	0.169810292945273
T71	E1	CRC	-0.00452330946212418	0.00182625343557001	128	96	0.0145812885496748	0.171985265206502
T402	E1	CRC	0.000945478442936804	0.000382050596350666	128	15	0.0146623382779736	0.171985265206502
T235	E1	CRC	-0.0149736118103709	0.00611059958541096	128	44	0.0156410014418023	0.178636700677426
T197	E1	CRC	0.00696387195295984	0.0029832180567566	128	61	0.0211596907178188	0.23433910080716
T230	E1	CRC	0.00427711084781301	0.00184626035072767	128	37	0.0221380256522893	0.23433910080716
T313	E1	CRC	0.00143992817197458	0.000619066229868915	128	12	0.0216177136257721	0.23433910080716
T151	E1	CRC	-0.00153741677448907	0.000666974189009308	128	37	0.0227984818234017	0.235584312175151
T175	E1	CRC	0.00155024925303032	0.000690329758472657	128	12	0.0264679538800414	0.255268710754177
T242	E1	CRC	0.00855459077063705	0.00380218038824668	128	16	0.0261890574313391	0.255268710754177
T457	E1	CRC	0.00636607170544643	0.00281812059204526	128	20	0.0256033573496535	0.255268710754177
T22	E1	CRC	-0.0316768497135978	0.014341032367292	128	92	0.028994725733801	0.26216064517645
T65	E1	CRC	0.00307333563327717	0.00138072508411429	128	69	0.0277996333676955	0.26216064517645
T204	E1	CRC	0.00158872538628382	0.000718592036433916	128	18	0.028848064066645	0.26216064517645
T70	E1	CRC	0.00173869463046679	0.000796742960322943	128	23	0.0309455169021665	0.274088863990618
T138	E1	CRC	0.00242161859494832	0.0011360438017777	128	34	0.0349793195119915	0.286659830356065
T139	E1	CRC	0.0101177412105835	0.00474722348092366	128	63	0.0350068456425609	0.286659830356065
T174	E1	CRC	0.0216932329346151	0.0101329519383584	128	121	0.0342112524605634	0.286659830356065
T182	E1	CRC	-0.00563920421814568	0.00263169036597207	128	39	0.0340512327463051	0.286659830356065
T19	E1	CRC	-0.0261672868752017	0.0123348878991183	128	69	0.0358465355477336	0.288099933846599
