feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T194	X2	X2	-0.00273862372319713	0.000538886800427221	157	76	1.11065084376186e-06	0.0020702531727721
T10	E1	CRC	-0.0252373266734731	0.00584663167058793	157	146	2.886447302652e-05	0.0179344592404777
T11	E1	CRC	-0.0447112715082743	0.0103072228162199	157	150	2.64920225944678e-05	0.0179344592404777
T2	E1	CRC	-0.0469054138970506	0.0117963826324931	157	142	0.000109143997449714	0.0391418578671859
T3	E1	CRC	-0.0629480978234774	0.0159063604359864	157	126	0.000117218245012833	0.0391418578671859
T399	X3	X3	0.000414050962242596	0.000105134490837664	157	10	0.000125993104722702	0.0391418578671859
T206	E1	CRC	0.016603341398854	0.00426955593233218	157	86	0.000151723821538253	0.0404018861924719
T44	X2	X2	-0.00101282871479743	0.000270207145896794	157	63	0.000254641135886949	0.043150097935752
T56	E1	CRC	-0.0875145392284977	0.0231718637564349	157	153	0.000229563878819062	0.043150097935752
T286	E1	CRC	0.0189182633181799	0.00498272604381999	157	53	0.000213329547610917	0.043150097935752
T438	X3	X3	0.000328498334304237	8.75134782169843e-05	157	2	0.000249732824479173	0.043150097935752
T94	E1	CRC	0.00804713176013112	0.00219470357164888	157	151	0.00034202062591619	0.0531272038923149
T170	E1	CRC	0.0137612432023073	0.00387969330053004	157	120	0.000522260612826475	0.0695352701648964
T204	X3	X3	0.000384628636599549	0.000108245336574688	157	30	0.000510855131945172	0.0695352701648964
T61	X2	X2	-0.00153752235384545	0.000440826317576649	157	137	0.000641481914611734	0.0797148192557514
T32	E1	CRC	-0.0400076966965393	0.0116283991774162	157	132	0.000754708226889111	0.0879235084325815
T260	E1	CRC	0.00945247301554389	0.00276504073138588	157	38	0.000813391031300683	0.0891859342555573
T132	E1	CRC	0.0211617793924834	0.00630911696127703	157	133	0.00101120651787748	0.0955965124210695
T211	E1	CRC	-0.00194034865736821	0.000574875928559812	157	23	0.000941952087736531	0.0955965124210695
T325	X3	X3	0.00114805746371282	0.00034271265136928	157	9	0.00102571365258658	0.0955965124210695
T26	X2	X2	-0.00327262968204919	0.000997726705965174	157	154	0.0012940079801855	0.102871175799643
T38	E1	CRC	-0.0239168752281823	0.00723778204243111	157	119	0.00119373222366974	0.102871175799643
T68	E1	CRC	-0.00366315349928025	0.00111919607774797	157	84	0.00132452157681944	0.102871175799643
T213	E1	CRC	0.0111156665804001	0.0033902576454842	157	99	0.00129990732448595	0.102871175799643
T99	X2	X2	4.61766682373167e-05	1.44610212414887e-05	157	15	0.00171927350476527	0.110507786651119
T161	X3	X3	0.000776274734307111	0.000240621404258618	157	32	0.00154472196976333	0.110507786651119
T216	E1	CRC	-0.00104789298712714	0.000326491880043813	157	19	0.00163035845701935	0.110507786651119
T284	X3	X3	0.00336845321286571	0.00105363902594604	157	11	0.0016983023883017	0.110507786651119
T327	E1	CRC	0.0127383121464874	0.00396239674521616	157	34	0.00160277941063267	0.110507786651119
T1	X2	X2	-0.0025216674931359	0.000792428202699382	157	157	0.00178140107880449	0.110684387029719
T101	E1	CRC	0.0229227198556787	0.00734943330921845	157	150	0.00218165257519735	0.112961122226885
T155	X1	male	-0.0323175245692481	0.0103342648017181	157	106	0.00212512086836528	0.112961122226885
T160	E1	CRC	-0.0150608375864343	0.00477033683215044	157	56	0.00193084429276299	0.112961122226885
T177	E1	CRC	0.0040032163485596	0.00127381556815171	157	105	0.00202262497673542	0.112961122226885
T229	X3	X3	0.00704548173707521	0.00224508027311257	157	80	0.00205200984757436	0.112961122226885
T464	X3	X3	0.00211455497054034	0.000674439824401319	157	5	0.00207118635607572	0.112961122226885
T308	E1	CRC	-0.00611247717110695	0.00199172007283251	157	13	0.00255577026269642	0.128755561342328
T428	X2	X2	-0.000689118945518096	0.000227522893339265	157	6	0.00289796573543821	0.142152845548864
T345	X3	X3	0.000608560481196153	0.000202791665865024	157	22	0.00315983878263114	0.151024089508319
T166	E1	CRC	0.0138161879577071	0.00464471461222414	157	137	0.00342683518932947	0.152312254068601
T224	E1	CRC	-0.0107885915321683	0.00362748916146013	157	26	0.0034319284715028	0.152312254068601
T233	E1	CRC	0.00987377163437808	0.00331773332576853	157	44	0.00341154238667332	0.152312254068601
T27	X2	X2	-0.00113520517362487	0.000386111589675901	157	146	0.00380847902842165	0.154326193673434
T158	X3	X3	0.00225918214028481	0.000767317173124207	157	57	0.00376042961216667	0.154326193673434
T287	E1	CRC	0.00969934373111128	0.003294250828019	157	58	0.00375970199360396	0.154326193673434
T430	X2	X2	-4.56444738416915e-05	1.54512190619403e-05	157	6	0.00364910774470131	0.154326193673434
T434	X3	X3	5.21781752567515e-05	1.78356238225989e-05	157	2	0.00398130684323066	0.157896935229403
T51	E1	CRC	-0.00355939560943518	0.00123144481251775	157	78	0.00442660910311373	0.171899986837583
T73	X3	X3	0.000208746348171461	7.28358346669111e-05	157	26	0.00476327780817797	0.181198976213137
T103	X3	X3	0.000496663008725317	0.000175347401095669	157	57	0.00526336947548459	0.196218414046065
T113	E1	CRC	0.0298650749451298	0.010718568971548	157	127	0.00603021080007287	0.220398292771291
T273	X2	X2	-7.93318017480051e-05	2.85636042279229e-05	157	18	0.00618962641486884	0.221874300717606
T182	E1	CRC	-0.00858450150887724	0.00314741810440543	157	81	0.00715430938673243	0.251615711261684
T6	E1	CRC	-0.0522493170407787	0.0194190742999333	157	133	0.00795225203748364	0.26731912126626
T200	X3	X3	0.000905161661553315	0.000336846594693835	157	49	0.00803104656164729	0.26731912126626
T430	E1	CRC	0.0010997331552079	0.000407360508133957	157	6	0.00774946661977982	0.26731912126626
T336	X3	X3	-7.58818531599603e-05	2.83103028631525e-05	157	2	0.00818819790007137	0.267768436591808
T129	E1	CRC	-0.0134959073779421	0.00506716066364316	157	103	0.00859215821729116	0.271453947746284
T241	E1	CRC	0.0222720715058206	0.00835531928277436	157	90	0.00853851449299942	0.271453947746284
T109	X3	X3	-0.00336355702758996	0.00127294794775213	157	142	0.00911916936815111	0.278657896757929
T355	E1	CRC	0.00768151878687783	0.00290183219872656	157	14	0.00899684850796811	0.278657896757929
T228	X2	X2	0.000230242511283783	8.7343239824971e-05	157	21	0.00928156090458325	0.279045637518438
T7	E1	CRC	-0.00818975183953398	0.00317970677086876	157	7	0.0109853165013533	0.296108135705997
T51	X3	X3	0.00038262006725732	0.00014698090493318	157	78	0.0101761420400847	0.296108135705997
T86	X2	X2	0.00206875517481524	0.000800456794286083	157	135	0.0107198196828604	0.296108135705997
T162	X2	X2	-0.000665750404779662	0.000256733652914589	157	76	0.0104644429830277	0.296108135705997
T168	X3	X3	-0.000651397867258389	0.000252261239773525	157	114	0.0107863568894312	0.296108135705997
T283	X2	X2	0.000509929454974274	0.000198321738937066	157	43	0.0111199407185728	0.296108135705997
T354	X3	X3	0.000279894903496026	0.000108189377920197	157	2	0.0106423753878609	0.296108135705997
T461	X3	X3	0.00056175486644471	0.000218190541575849	157	3	0.0110164684518618	0.296108135705997
T360	E1	CRC	-0.0113650350663741	0.00444505911024103	157	8	0.0115715075332786	0.3037928174934
