feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T194	X2	X2	-0.00273862372319713	0.00053888680042722	157	76	1.11065084376187e-06	0.00207025317277212
T10	E1	CRC	-0.0252373266734731	0.00584663167058792	157	146	2.88644730265203e-05	0.017934459240478
T11	E1	CRC	-0.0447112715082742	0.0103072228162199	157	150	2.64920225944684e-05	0.017934459240478
T2	E1	CRC	-0.0469054138970505	0.0117963826324931	157	142	0.000109143997449715	0.0391418578671857
T3	E1	CRC	-0.0629480978234773	0.0159063604359864	157	126	0.000117218245012834	0.0391418578671857
T399	X3	X3	0.000414050962242596	0.000105134490837664	157	10	0.000125993104722701	0.0391418578671857
T206	E1	CRC	0.016603341398854	0.00426955593233218	157	86	0.000151723821538253	0.0404018861924719
T44	X2	X2	-0.00101282871479743	0.000270207145896794	157	63	0.000254641135886949	0.043150097935752
T56	E1	CRC	-0.0875145392284976	0.0231718637564349	157	153	0.000229563878819065	0.043150097935752
T286	E1	CRC	0.0189182633181799	0.00498272604381999	157	53	0.000213329547610918	0.043150097935752
T438	X3	X3	0.000328498334304237	8.75134782169843e-05	157	2	0.000249732824479171	0.043150097935752
T94	E1	CRC	0.0080471317601311	0.00219470357164887	157	151	0.000342020625916194	0.0531272038923154
T170	E1	CRC	0.0137612432023073	0.00387969330053004	157	120	0.000522260612826477	0.0695352701648967
T204	X3	X3	0.000384628636599549	0.000108245336574688	157	30	0.000510855131945168	0.0695352701648967
T61	X2	X2	-0.00153752235384545	0.000440826317576649	157	137	0.00064148191461174	0.0797148192557522
T32	E1	CRC	-0.0400076966965392	0.0116283991774162	157	132	0.000754708226889115	0.0879235084325819
T260	E1	CRC	0.00945247301554387	0.00276504073138588	157	38	0.000813391031300696	0.0891859342555587
T132	E1	CRC	0.0211617793924834	0.00630911696127702	157	133	0.00101120651787749	0.0955965124210694
T211	E1	CRC	-0.0019403486573682	0.000574875928559811	157	23	0.000941952087736537	0.0955965124210694
T325	X3	X3	0.00114805746371282	0.00034271265136928	157	9	0.00102571365258658	0.0955965124210694
T26	X2	X2	-0.00327262968204919	0.000997726705965173	157	154	0.0012940079801855	0.102871175799643
T38	E1	CRC	-0.0239168752281822	0.0072377820424311	157	119	0.00119373222366975	0.102871175799643
T68	E1	CRC	-0.00366315349928024	0.00111919607774797	157	84	0.00132452157681944	0.102871175799643
T213	E1	CRC	0.0111156665804001	0.0033902576454842	157	99	0.00129990732448593	0.102871175799643
T99	X2	X2	4.61766682373167e-05	1.44610212414887e-05	157	15	0.00171927350476528	0.11050778665112
T161	X3	X3	0.000776274734307111	0.000240621404258618	157	32	0.00154472196976333	0.11050778665112
T216	E1	CRC	-0.00104789298712714	0.000326491880043812	157	19	0.00163035845701936	0.11050778665112
T284	X3	X3	0.00336845321286571	0.00105363902594604	157	11	0.0016983023883017	0.11050778665112
T327	E1	CRC	0.0127383121464874	0.00396239674521616	157	34	0.00160277941063268	0.11050778665112
T1	X2	X2	-0.0025216674931359	0.000792428202699382	157	157	0.00178140107880447	0.110684387029718
T101	E1	CRC	0.0229227198556787	0.00734943330921844	157	150	0.00218165257519736	0.112961122226886
T155	X1	male	-0.0323175245692481	0.0103342648017181	157	106	0.00212512086836528	0.112961122226886
T160	E1	CRC	-0.0150608375864343	0.00477033683215044	157	56	0.00193084429276302	0.112961122226886
T177	E1	CRC	0.00400321634855959	0.00127381556815171	157	105	0.00202262497673544	0.112961122226886
T229	X3	X3	0.00704548173707521	0.00224508027311257	157	80	0.00205200984757435	0.112961122226886
T464	X3	X3	0.00211455497054034	0.000674439824401319	157	5	0.00207118635607572	0.112961122226886
T308	E1	CRC	-0.00611247717110694	0.00199172007283251	157	13	0.00255577026269643	0.128755561342328
T428	X2	X2	-0.000689118945518095	0.000227522893339264	157	6	0.00289796573543823	0.142152845548865
T345	X3	X3	0.000608560481196153	0.000202791665865024	157	22	0.00315983878263113	0.151024089508319
T166	E1	CRC	0.013816187957707	0.00464471461222414	157	137	0.0034268351893295	0.152312254068601
T224	E1	CRC	-0.0107885915321683	0.00362748916146013	157	26	0.00343192847150282	0.152312254068601
T233	E1	CRC	0.00987377163437807	0.00331773332576853	157	44	0.00341154238667334	0.152312254068601
T27	X2	X2	-0.00113520517362487	0.000386111589675901	157	146	0.00380847902842167	0.154326193673435
T158	X3	X3	0.00225918214028481	0.000767317173124208	157	57	0.00376042961216663	0.154326193673435
T287	E1	CRC	0.00969934373111126	0.00329425082801899	157	58	0.00375970199360401	0.154326193673435
T430	X2	X2	-4.56444738416915e-05	1.54512190619403e-05	157	6	0.00364910774470132	0.154326193673435
T434	X3	X3	5.21781752567516e-05	1.78356238225989e-05	157	2	0.00398130684323064	0.157896935229402
T51	E1	CRC	-0.00355939560943518	0.00123144481251775	157	78	0.00442660910311375	0.171899986837584
T73	X3	X3	0.000208746348171461	7.28358346669112e-05	157	26	0.00476327780817798	0.181198976213138
T103	X3	X3	0.000496663008725317	0.000175347401095669	157	57	0.00526336947548456	0.196218414046064
